front,back
3636,3417
3639,3412
3648,3372
3613,3414
3632,3408
3619,3414
3605,3400
3648,3426
3639,3421
3659,3427
3587,3398
3640,3412
3628,3413
3613,3400
90,96
98,3425
3633,92
93,96
101,93
101,93
102,97
98,3410
3623,86
3643,3387
3630,3413
3590,3409
3608,3405
3623,3404
3610,3391
3618,3409
3579,3413
3610,3389
3608,3394
3608,3392
3604,3421
3606,3401
3585,3395
3587,3395
3610,3383
3582,3397
47,52
58,54
3604,3386
59,3441
3584,3370
3592,3407
3606,3409
3596,3406
3614,3376
3594,3364
3592,3431
3621,3396
3620,3365
3605,3387
3610,3401
3589,3396
3614,3422
39,3420
3607,3396
3587,3344
3556,3349
3559,3359
3551,3341
3603,3352
3601,3350
3584,3356
3594,3355
3573,3354
3566,3366
3564,3352
3571,3435
3544,121
117,116
119,119
117,118
3623,3387
126,111
128,3403
114,3428
3626,3393
3624,3402
3556,3405
3600,3393
3605,3401
3611,3415
3606,3385
3588,3387
3624,3369
3605,3388
3616,3364
3617,3353
3616,3405
3632,3368
3614,3406
3628,3398
3617,3392
3629,3386
3591,3385
3620,3402
3609,3358
3608,3383
3588,3402
3626,3363
3583,3400
3603,3386
3631,3386
3618,3393
3632,3384
3619,63
64,63
64,63
64,63
64,63
65,63
64,62
64,62
65,63
64,62
64,63
64,62
64,62
64,62
64,63
64,62
63,62
63,61
63,61
63,62
63,62
63,61
63,61
63,61
63,61
63,61
62,61
62,60
62,60
62,60
62,60
62,60
62,60
62,60
61,60
61,60
62,62
62,3425
3631,3384
3589,3396
3585,3380
3569,3384
3601,3376
3637,3373
85,83
86,84
85,85
86,84
85,84
86,84
85,85
85,84
85,84
85,85
85,85
86,84
85,84
85,84
85,84
86,84
85,85
85,84
85,84
85,84
85,84
84,83
84,83
85,83
86,83
89,83
3629,3349
3601,3415
3575,3398
3587,3386
3613,3384
45,44
46,45
46,45
46,45
46,45
46,45
46,45
46,45
46,45
46,45
47,45
46,45
47,45
46,46
46,45
46,45
46,45
47,46
47,45
47,45
47,45
47,45
47,45
47,45
47,45
47,45
47,45
47,46
47,45
47,45
48,45
47,45
47,46
47,45
47,45
47,45
47,46
47,3392
3610,3380
3589,3381
3605,3372
3576,3373
3608,92
3616,3374
58,57
59,58
59,58
59,58
59,58
59,58
59,58
59,58
60,58
59,59
60,59
60,59
60,59
60,59
60,59
61,59
61,59
60,59
60,59
61,60
60,59
60,59
60,59
60,59
61,60
62,60
63,60
64,60
3629,3374
3579,3343
3606,3364
3608,3368
3607,3362
3602,3374
3599,3412
3615,3386
3615,3383
3607,3385
3567,3381
3583,80
76,3385
75,73
3620,3360
74,3389
3608,3362
3609,3390
3604,3376
3575,3430
3631,3417
3616,3397
3596,3379
3631,3387
3618,3383
3593,3384
3595,3413
3608,3383
3601,3380
3674,3369
3592,3408
3618,3429
3591,3410
3614,3374
3619,3330
3574,3325
3562,3326
3555,3363
3571,3330
3552,3340
3564,3327
3567,3326
3550,3371
3585,3353
3549,3368
34,33
36,3372
3583,3328
3571,3326
3578,3325
3569,139
145,137
148,3341
3556,134
3576,130
3583,3332
3544,3348
3561,3349
3561,60
72,3318
3583,81
60,3344
3544,48
50,49
3567,3373
116,114
118,3369
119,3363
119,3333
3551,3357
3557,3376
3578,111
3592,3366
3550,3318
3561,3365
3578,3317
3563,3331
3564,115
3581,3355
3572,3354
3560,3322
3558,3372
3573,3335
3549,3336
3538,3323
3584,108
3560,3340
3566,3340
3560,3351
3563,3339
3549,126
3582,128
3572,3371
3568,3350
3551,3376
3576,3344
3567,3349
3558,3388
3554,3331
106,3383
3563,84
86,3359
3584,76
72,3353
3561,74
74,3345
3583,73
73,3358
3557,3342
74,3371
3578,80
71,3340
74,78
73,3350
72,82
72,3357
3587,80
72,3351
3545,76
73,3378
3574,3339
74,3374
77,74
76,3345
74,73
73,3374
74,75
73,3368
3577,75
72,3352
3576,72
71,73
77,73
76,74
75,74
3579,74
72,73
3570,3317
69,71
91,3324
3577,76
79,3359
3589,3333
3545,3360
3560,3336
3562,3335
3579,3314
3565,3360
3583,3324
3559,3377
3568,3367
3575,3333
3546,3343
3568,3362
70,3361
3568,3366
70,3348
3581,3369
65,3333
52,46
52,3353
3551,45
48,3338
3562,3347
3576,3329
3557,3379
45,46
3562,3323
3592,3314
3564,3356
3579,3356
3569,3363
3561,3363
3572,3347
3587,3315
3562,3319
3563,3331
3584,3349
3559,3376
3574,3342
3565,3352
3576,3322
3565,3334
3568,3328
3563,80
55,3373
3583,3351
63,64
64,68
65,66
66,3350
3574,74
72,3374
3583,3334
3556,3342
3559,3320
3580,3298
3573,3333
3560,3339
3579,3353
3554,3337
3552,3366
3559,3337
3547,3327
3561,3326
3579,3333
3561,3325
3572,3345
3569,3342
3553,3325
