,0,0
948827,0,0
948877,0,0
948927,0,0
948977,0,0
949027,0,0
949078,0,0
949128,0,0
949178,0,0
949228,0,0
949278,0,0
949328,0,0
949378,0,0
949428,0,0
949478,0,0
949528,0,0
949578,0,0
949628,0,0
949679,0,0
949729,0,0
949779,0,0
949829,0,0
949879,0,0
949929,0,0
949979,0,0
950029,0,0
950079,0,0
950129,0,0
950179,0,0
950229,0,0
950279,0,0
950330,0,0
950380,0,0
950430,0,0
950480,0,0
950530,0,0
950580,0,0
950630,0,0
950680,0,0
950730,0,0
950780,0,0
950830,0,0
950880,0,0
950930,0,0
950981,0,0
951031,0,0
951081,0,0
951131,0,0
951181,0,0
951231,0,0
951281,0,0
951331,0,0
951381,0,0
951431,0,0
951481,0,0
951531,0,0
951581,0,0
951632,0,0
951682,0,0
951732,0,0
951782,0,0
951832,0,0
951882,0,0
951932,0,0
951982,0,0
952032,0,0
952082,0,0
952132,0,0
952182,0,0
952232,0,0
952283,0,0
952333,0,0
952383,0,0
952433,0,0
952483,0,0
952533,0,0
952583,0,0
952633,0,0
952683,0,0
952733,0,0
952783,0,0
952833,0,0
952883,0,0
952934,0,0
952984,0,0
953034,0,0
953084,0,0
953134,0,0
953184,0,0
953234,0,0
953284,0,0
953334,0,0
953384,0,0
953434,0,0
953484,0,0
953534,0,0
953585,0,0
953635,0,0
953685,0,0
953735,0,0
953785,0,0
953835,0,0
953885,0,0
953935,0,0
953985,0,0
954035,0,0
954085,0,0
954135,0,0
954185,0,0
954236,0,0
954286,0,0
954336,0,0
954386,0,0
954436,0,0
954486,0,0
954536,0,0
954586,0,0
954636,0,0
954686,0,0
954736,0,0
954786,0,0
954836,0,0
954887,0,0
954937,0,0
954987,0,0
955016,0,59
955045,0,60
955074,0,60
955124,0,0
955174,0,0
955182,64,59
955191,63,60
955220,64,0
955249,0,61
955278,0,60
955307,0,59
955316,65,60
955324,65,60
955332,65,60
955341,65,60
955349,65,60
955358,65,60
955387,0,60
955416,0,60
955424,66,60
955432,64,59
955441,63,59
955449,63,59
955457,64,60
955465,63,59
955474,63,59
955482,63,60
955490,63,60
955498,63,60
955507,63,60
955515,63,60
955523,63,60
955531,63,60
955540,63,60
955548,64,60
955556,62,60
955564,62,60
955575,63,60
955589,63,60
955604,63,60
955618,63,60
955633,62,60
955648,62,60
955662,62,60
955677,63,60
955691,63,60
955706,62,60
955721,62,60
955735,63,60
955750,63,60
955764,62,60
955779,63,60
955793,63,60
955808,63,60
955823,63,60
955837,62,60
955852,62,60
955866,62,60
955881,62,60
955896,62,60
955910,62,60
955925,63,60
955939,62,61
955954,62,60
955968,62,60
955983,62,60
955998,62,60
956012,62,60
956027,62,60
956041,62,61
956056,62,60
956071,63,60
956085,62,60
956100,62,60
956114,62,60
956129,63,60
956143,62,60
956158,62,60
956173,63,60
956187,62,60
956202,63,60
956216,63,61
956231,63,60
956246,62,61
956260,62,61
956275,63,61
956289,63,61
956304,63,61
956319,63,61
956333,63,60
956348,63,61
956362,63,61
956377,63,61
956391,63,61
956406,64,61
956421,63,61
956435,63,61
956450,64,61
956464,63,61
956479,63,61
956494,63,61
956508,64,62
956523,63,61
956537,63,61
956552,63,61
956566,63,61
956581,63,61
956596,63,61
956610,63,61
956625,63,61
956639,63,61
956654,63,61
956668,63,61
956683,63,61
956698,63,61
956712,63,61
956727,63,61
956741,63,61
956756,63,61
956771,63,61
956785,64,61
956800,63,61
956814,63,61
956829,63,61
956843,63,61
956858,63,61
956873,63,60
956887,62,60
956902,62,61
956916,62,61
956931,62,60
956946,62,60
956960,62,60
956975,62,61
956989,62,60
957004,62,60
957018,62,60
957033,62,60
957048,62,60
957062,62,60
957077,62,60
957091,62,60
957106,62,60
957120,62,60
957135,63,60
957150,62,60
957164,62,60
957179,62,60
957193,62,60
957208,63,60
957223,62,60
957237,62,60
957252,62,60
957266,62,60
957281,62,59
957295,62,59
957310,61,60
957325,61,59
957339,62,59
957354,61,60
957368,61,59
957383,62,60
957397,61,59
957412,61,60
957427,62,60
957441,62,60
957456,62,60
957470,62,60
957485,62,60
957500,61,59
957514,61,59
957529,61,59
957543,61,59
957558,61,59
957573,62,60
957587,61,59
957602,61,59
957616,61,59
957631,61,59
957645,62,59
957660,61,60
957675,62,59
957689,62,60
957704,62,60
957718,62,60
957733,62,60
957748,62,60
957762,62,60
957777,62,60
957791,62,60
957806,63,60
957820,62,60
957835,62,60
957850,62,60
957864,62,60
957879,62,60
957893,62,60
957908,62,60
957923,62,60
957937,62,60
957952,62,60
957966,62,60
957981,62,60
957996,63,60
958010,62,61
958025,63,60
958039,62,61
958054,63,60
958068,62,60
958083,62,61
958098,62,61
958112,62,60
958127,62,60
958141,63,60
958156,62,61
958171,62,60
958185,62,60
958200,63,61
958214,63,60
958229,62,61
958243,63,60
958258,62,60
958273,62,61
958287,63,61
958302,62,61
958316,62,61
958331,62,61
958346,62,61
958360,62,61
958375,62,61
958389,62,61
958404,63,61
958418,62,61
958433,63,60
958448,62,61
958462,62,60
958477,62,61
958491,62,60
958506,62,60
958521,62,61
958535,62,60
958550,62,61
958564,62,61
958579,63,61
958593,62,61
958608,62,61
958623,62,61
958637,62,61
958652,62,61
958666,62,61
958681,62,61
958696,63,61
958710,62,63
958725,62,61
958739,62,60
958754,62,60
958769,63,61
958783,62,62
958798,62,64
958812,62,62
958827,62,62
958841,62,61
958856,63,61
958871,63,62
958906,65,0
958915,62,63
958923,62,63
958931,62,63
958963,63,0
958993,66,0
959022,63,0
959031,65,63
959039,66,63
959069,0,63
959081,133,66
959090,65,67
959120,67,0
959137,210,65
959149,134,65
959162,132,65
959171,69,64
959180,69,64
959189,69,64
959198,67,65
959207,67,67
959216,66,69
959245,65,0
959274,66,0
959304,68,0
959334,74,0
959363,66,0
959393,66,0
959422,68,0
959472,0,0
959502,72,0
959552,0,0
959602,0,0
959632,74,0
959662,73,0
959692,74,0
959742,0,0
959792,0,0
959842,0,0
959892,0,0
959942,0,0
959992,0,0
960043,0,0
960093,0,0
960143,0,0
960193,0,0
960243,0,0
960293,0,0
960343,0,0
960393,0,0
960443,0,0
960493,0,0
960543,0,0
960593,0,0
960643,0,0
960694,0,0
960744,0,0
960794,0,0
960844,0,0
960894,0,0
960944,0,0
960994,0,0
961044,0,0
961094,0,0
961144,0,0
961194,0,0
961244,0,0
961294,0,0
961345,0,0
961395,0,0
961445,0,0
961495,0,0
961545,0,0
961595,0,0
961645,0,0
961695,0,0
961745,0,0
961795,0,0
961845,0,0
961895,0,0
961945,0,0
961996,0,0
962046,0,0
962096,0,0
962146,0,0
962196,0,0
962246,0,0
962296,0,0
962346,0,0
962396,0,0
962446,0,0
962496,0,0
962546,0,0
962596,0,0
962647,0,0
962697,0,0
962747,0,0
