,0,0
1005439,0,0
1005489,0,0
1005539,0,0
1005589,0,0
1005640,0,0
1005690,0,0
1005740,0,0
1005790,0,0
1005840,0,0
1005890,0,0
1005940,0,0
1005990,0,0
1006040,0,0
1006090,0,0
1006140,0,0
1006190,0,0
1006240,0,0
1006291,0,0
1006341,0,0
1006391,0,0
1006441,0,0
1006491,0,0
1006541,0,0
1006591,0,0
1006641,0,0
1006691,0,0
1006741,0,0
1006791,0,0
1006841,0,0
1006891,0,0
1006942,0,0
1006992,0,0
1007042,0,0
1007092,0,0
1007142,0,0
1007192,0,0
1007242,0,0
1007292,0,0
1007342,0,0
1007392,0,0
1007442,0,0
1007492,0,0
1007542,0,0
1007593,0,0
1007643,0,0
1007693,0,0
1007743,0,0
1007793,0,0
1007843,0,0
1007893,0,0
1007943,0,0
1007993,0,0
1008043,0,0
1008093,0,0
1008143,0,0
1008193,0,0
1008244,0,0
1008294,0,0
1008344,0,0
1008394,0,0
1008444,0,0
1008494,0,0
1008544,0,0
1008594,0,0
1008644,0,0
1008694,0,0
1008744,0,0
1008794,0,0
1008845,0,0
1008895,0,0
1008945,0,0
1008995,0,0
1009045,0,0
1009095,0,0
1009145,0,0
1009195,0,0
1009245,0,0
1009295,0,0
1009345,0,0
1009395,0,0
1009445,0,0
1009496,0,0
1009546,0,0
1009596,0,0
1009646,0,0
1009696,0,0
1009746,0,0
1009796,0,0
1009846,0,0
1009896,0,0
1009946,0,0
1009996,0,0
1010046,0,0
1010096,0,0
1010147,0,0
1010197,0,0
1010247,0,0
1010297,0,0
1010347,0,0
1010397,0,0
1010447,0,0
1010497,0,0
1010547,0,0
1010597,0,0
1010647,0,0
1010697,0,0
1010747,0,0
1010798,0,0
1010848,0,0
1010898,0,0
1010948,0,0
1010998,0,0
1011048,0,0
1011098,0,0
1011148,0,0
1011198,0,0
1011248,0,0
1011298,0,0
1011348,0,0
1011398,0,0
1011449,0,0
1011499,0,0
1011549,0,0
1011599,0,0
1011649,0,0
1011699,0,0
1011749,0,0
1011799,0,0
1011849,0,0
1011899,0,0
1011949,0,0
1011999,0,0
1012049,0,0
1012100,0,0
1012150,0,0
1012200,0,0
1012250,0,0
1012300,0,0
1012350,0,0
1012400,0,0
1012450,0,0
1012500,0,0
1012550,0,0
1012600,0,0
1012650,0,0
1012700,0,0
1012751,0,0
1012801,0,0
1012851,0,0
1012901,0,0
1012951,0,0
1013001,0,0
1013051,0,0
1013101,0,0
1013151,0,0
1013201,0,0
1013251,0,0
1013301,0,0
1013351,0,0
1013402,0,0
1013452,0,0
1013502,0,0
1013552,0,0
1013602,0,0
1013652,0,0
1013702,0,0
1013752,0,0
1013802,0,0
1013852,0,0
1013902,0,0
1013952,0,0
1014003,0,0
1014053,0,0
1014103,0,0
1014153,0,0
1014203,0,0
1014253,0,0
1014303,0,0
1014353,0,0
1014403,0,0
1014453,0,0
1014503,0,0
1014553,0,0
1014603,0,0
1014654,0,0
1014704,0,0
1014754,0,0
1014804,0,0
1014854,0,0
1014904,0,0
1014954,0,0
1015004,0,0
1015054,0,0
1015104,0,0
1015154,0,0
1015204,0,0
1015254,0,0
1015305,0,0
1015355,0,0
1015405,0,0
1015455,0,0
1015505,0,0
1015555,0,0
1015605,0,0
1015655,0,0
1015705,0,0
1015755,0,0
1015805,0,0
1015855,0,0
1015905,0,0
1015956,0,0
1016006,0,0
1016056,0,0
1016106,0,0
1016156,0,0
1016206,0,0
1016256,0,0
1016306,0,0
1016356,0,0
1016406,0,0
1016456,0,0
1016506,0,0
1016556,0,0
1016607,0,0
1016657,0,0
1016707,0,0
1016757,0,0
1016807,0,0
1016857,0,0
1016907,0,0
1016957,0,0
1017007,0,0
1017057,0,0
1017107,0,0
1017157,0,0
1017207,0,0
1017258,0,0
1017308,0,0
1017358,0,0
1017408,0,0
1017458,0,0
1017508,0,0
1017558,0,0
1017608,0,0
1017658,0,0
1017708,0,0
1017758,0,0
1017808,0,0
1017858,0,0
1017909,0,0
1017959,0,0
1018009,0,0
1018059,0,0
1018109,0,0
1018159,0,0
1018209,0,0
1018259,0,0
1018309,0,0
1018359,0,0
1018409,0,0
1018459,0,0
1018510,0,0
1018560,0,0
1018610,0,0
1018660,0,0
1018710,0,0
1018760,0,0
1018810,0,0
1018860,0,0
1018910,0,0
1018960,0,0
1019010,0,0
1019060,0,0
1019110,0,0
1019161,0,0
1019211,0,0
1019261,0,0
1019311,0,0
1019361,0,0
1019411,0,0
1019461,0,0
1019511,0,0
1019561,0,0
1019611,0,0
1019661,0,0
1019711,0,0
1019761,0,0
1019812,0,0
1019862,0,0
1019912,0,0
1019962,0,0
1020012,0,0
1020062,0,0
1020112,0,0
1020162,0,0
1020212,0,0
1020262,0,0
1020312,0,0
1020362,0,0
1020412,0,0
1020463,0,0
1020513,0,0
1020563,0,0
1020613,0,0
1020663,0,0
1020713,0,0
1020763,0,0
1020813,0,0
1020863,0,0
1020913,0,0
1020963,0,0
1021013,0,0
1021063,0,0
1021114,0,0
1021164,0,0
1021214,0,0
1021264,0,0
1021314,0,0
1021364,0,0
1021414,0,0
1021464,0,0
1021514,0,0
1021564,0,0
1021614,0,0
1021664,0,0
1021714,0,0
1021765,0,0
1021815,0,0
1021865,0,0
1021915,0,0
1021965,0,0
1022015,0,0
1022065,0,0
1022115,0,0
1022165,0,0
1022215,0,0
1022265,0,0
1022315,0,0
1022365,0,0
1022416,0,0
1022466,0,0
1022516,0,0
1022566,0,0
1022616,0,0
1022666,0,0
1022716,0,0
1022766,0,0
1022816,0,0
1022866,0,0
1022916,0,0
1022966,0,0
1023017,0,0
1023067,0,0
1023117,0,0
1023167,0,0
1023217,0,0
1023267,0,0
1023317,0,0
1023367,0,0
1023417,0,0
1023467,0,0
1023517,0,0
1023567,0,0
1023617,0,0
1023668,0,0
1023718,0,0
1023768,0,0
1023818,0,0
1023868,0,0
1023918,0,0
1023968,0,0
1024018,0,0
1024068,0,0
1024118,0,0
1024168,0,0
1024218,0,0
1024268,0,0
1024319,0,0
1024369,0,0
1024419,0,0
1024469,0,0
1024519,0,0
1024569,0,0
1024619,0,0
1024669,0,0
1024719,0,0
1024769,0,0
1024819,0,0
1024869,0,0
1024919,0,0
1024970,0,0
1025020,0,0
1025070,0,0
1025120,0,0
1025170,0,0
1025220,0,0
1025270,0,0
1025320,0,0
1025370,0,0
1025420,0,0
1025470,0,0
1025520,0,0
1025570,0,0
1025621,0,0
1025671,0,0
1025721,0,0
1025771,0,0
1025821,0,0
1025871,0,0
1025921,0,0
1025971,0,0
1026021,0,0
1026071,0,0
1026121,0,0
1026171,0,0
1026221,0,0
1026272,0,0
1026322,0,0
1026372,0,0
1026422,0,0
1026472,0,0
1026522,0,0
1026572,0,0
1026622,0,0
1026672,0,0
1026722,0,0
1026772,0,0
1026822,0,0
1026872,0,0
1026923,0,0
1026973,0,0
1027023,0,0
1027073,0,0
1027123,0,0
1027173,0,0
1027223,0,0
1027273,0,0
1027323,0,0
1027373,0,0
1027423,0,0
1027473,0,0
1027524,0,0
1027574,0,0
1027624,0,0
1027674,0,0
1027724,0,0
1027774,0,0
1027824,0,0
1027874,0,0
1027924,0,0
1027974,0,0
1028024,0,0
1028074,0,0
1028124,0,0
1028175,0,0
1028225,0,0
1028275,0,0
1028325,0,0
1028375,0,0
1028405,0,79
1028416,83,80
1028446,0,78
1028456,81,78
1028467,81,78
1028477,80,78
1028487,82,78
1028498,82,78
1028508,82,78
1028519,80,78
1028529,80,78
1028539,80,79
1028550,81,78
1028560,80,78
1028570,80,78
1028581,80,78
1028591,79,77
1028601,79,77
1028612,79,77
1028622,79,77
1028632,79,77
1028644,79,77
1028660,79,77
1028675,79,78
1028691,79,77
1028707,78,78
1028722,79,77
1028738,79,77
1028753,79,77
1028769,78,77
1028785,78,77
1028800,78,77
1028816,78,76
1028832,79,77
1028847,78,76
1028863,77,76
1028878,77,76
1028894,77,75
1028909,76,76
1028925,77,75
1028941,76,75
1028956,76,75
1028992,76,0
1029022,78,0
1029033,81,80
1029063,83,0
1029074,81,84
1029105,0,88
1029135,86,0
1029166,90,0
1029197,90,0
1029227,73,0
1029277,0,0
1029327,0,0
1029377,0,0
1029427,0,0
1029477,0,0
1029527,0,0
1029577,0,0
1029627,0,0
1029677,0,0
1029728,0,0
1029778,0,0
1029828,0,0
1029878,0,0
1029928,0,0
1029978,0,0
1030028,0,0
1030078,0,0
1030128,0,0
1030178,0,0
1030228,0,0
1030278,0,0
1030328,0,0
1030379,0,0
1030429,0,0
1030479,0,0
1030529,0,0
1030550,176,164
1030600,0,0
1030635,165,0
1030685,0,0
1030735,0,0
1030785,0,0
1030820,0,151
1030870,0,0
1030920,0,0
1030970,0,0
1031020,0,0
1031070,0,0
1031105,162,0
1031155,0,0
1031205,0,0
1031256,0,0
1031306,0,0
1031356,0,0
1031375,157,149
1031410,0,164
1031444,0,150
1031494,0,0
1031529,155,0
1031579,0,0
1031629,0,0
1031679,0,0
1031729,0,0
1031779,0,0
1031815,171,0
1031851,177,0
1031901,0,0
1031951,0,0
1031986,0,158
1032036,0,0
1032086,0,0
1032136,0,0
1032172,171,0
1032222,0,0
1032272,0,0
1032322,0,0
1032358,172,0
1032408,0,0
1032443,0,163
1032493,0,0
1032528,0,158
1032563,157,0
1032582,159,158
1032617,0,160
1032653,0,163
1032673,160,165
1032723,0,0
1032743,167,164
1032793,0,0
1032844,0,0
1032894,0,0
1032944,0,0
1032994,0,0
1033044,0,0
1033094,0,0
1033144,0,0
1033194,0,0
1033244,0,0
1033294,0,0
1033344,0,0
1033394,0,0
1033444,0,0
1033495,0,0
1033545,0,0
1033595,0,0
1033645,0,0
1033695,0,0
1033745,0,0
1033795,0,0
1033845,0,0
1033895,0,0
1033945,0,0
1033995,0,0
1034045,0,0
1034096,0,0
1034146,0,0
1034196,0,0
1034246,0,0
1034296,0,0
1034346,0,0
1034396,0,0
1034446,0,0
1034496,0,0
1034546,0,0
1034596,0,0
